Session ID,Time,JKP102,JKP104,JKP110,JKP112,JKP202,JKP204,JKP210,JKP212
80,W19.5,BUAD-307,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,W20.0,BUAD-307,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,W20.5,BUAD-307,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,W21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,W21.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
85,Th8.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
86,Th8.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
87,Th9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
88,Th9.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
89,Th10.0,1.0,1.0,1.0,ABC-123,1.0,1.0,1.0,1.0
90,Th10.5,1.0,1.0,1.0,ABC-123,1.0,1.0,1.0,1.0
91,Th11.0,1.0,1.0,1.0,ABC-123,1.0,1.0,1.0,1.0
92,Th11.5,1.0,1.0,1.0,ABC-123,1.0,1.0,1.0,1.0
93,Th12.0,1.0,1.0,1.0,ABC-123,1.0,1.0,0.0,0.0
94,Th12.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
95,Th13.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
96,Th13.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
97,Th14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,Th14.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,Th15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,Th15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,Th16.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
102,Th16.5,1.0,0.0,1.0,1.0,1.0,DSO-545,1.0,1.0
103,Th17.0,1.0,0.0,1.0,1.0,1.0,DSO-545,XYZ-123,0.0
104,Th17.5,1.0,0.0,1.0,1.0,1.0,DSO-545,XYZ-123,0.0
105,Th18.0,1.0,0.0,0.0,1.0,1.0,0.0,XYZ-123,0.0
106,Th18.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,Th19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,Th19.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,Th20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,Th20.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,Th21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
112,Th21.5,1.0,1.0,1.0,1.0,EFG-456,1.0,0.0,0.0
113,F8.0,1.0,1.0,1.0,1.0,EFG-456,1.0,1.0,1.0
114,F8.5,1.0,1.0,1.0,1.0,EFG-456,1.0,1.0,1.0
115,F9.0,1.0,1.0,1.0,1.0,EFG-456,1.0,1.0,1.0
116,F9.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
